datetimestamp,underlyingSymbol,underlyingPrice,underlyingVol,putCall,strikePrice,expirationType,inTheMoney,lastTradingDay,expirationDate,daysToExpiration,openInterest,theoreticalVolatility,volatility,theoreticalOptionValue,closePrice,last,mark,bid,ask
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,362.5,S,False,2020-07-25 00:00:00,2020-07-24 20:00:00,27,643,29.0,35.03,9.8,9.92,9.7,9.8,9.3,10.3
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,365.0,S,False,2020-07-25 00:00:00,2020-07-24 20:00:00,27,1059,29.0,34.667,8.75,8.99,8.7,8.75,8.25,9.25
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,367.5,S,False,2020-07-25 00:00:00,2020-07-24 20:00:00,27,319,29.0,34.381,7.8,8.05,8.1,7.8,7.4,8.2
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,370.0,S,False,2020-07-25 00:00:00,2020-07-24 20:00:00,27,1213,29.0,34.181,6.95,7.12,7.02,6.95,6.55,7.35
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,372.5,S,False,2020-07-25 00:00:00,2020-07-24 20:00:00,27,313,29.0,34.151,6.225,6.25,6.15,6.23,5.75,6.7
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,375.0,S,False,2020-07-25 00:00:00,2020-07-24 20:00:00,27,629,29.0,33.788,5.45,5.39,5.5,5.45,5.15,5.75
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,377.5,S,False,2020-07-25 00:00:00,2020-07-24 20:00:00,27,59,29.0,31.241,4.07,4.52,4.95,4.07,2.94,5.2
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,330.0,S,True,2020-08-01 00:00:00,2020-07-31 20:00:00,34,69,29.0,44.901,32.9,33.23,32.05,32.9,31.2,34.6
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,332.5,S,True,2020-08-01 00:00:00,2020-07-31 20:00:00,34,19,29.0,43.355,30.675,31.38,32.0,30.67,29.3,32.05
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,335.0,S,True,2020-08-01 00:00:00,2020-07-31 20:00:00,34,108,29.0,43.997,29.325,29.52,31.0,29.33,27.65,31.0
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,337.5,S,True,2020-08-01 00:00:00,2020-07-31 20:00:00,34,53,29.0,44.289,27.9,27.67,27.7,27.9,26.45,29.35
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,340.0,S,True,2020-08-01 00:00:00,2020-07-31 20:00:00,34,235,29.0,41.938,25.45,25.81,27.13,25.45,23.3,27.6
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,342.5,S,True,2020-08-01 00:00:00,2020-07-31 20:00:00,34,124,29.0,41.165,23.675,23.96,24.7,23.67,22.95,24.4
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,345.0,S,True,2020-08-01 00:00:00,2020-07-31 20:00:00,34,225,29.0,41.528,22.425,22.1,23.44,22.43,21.85,23.0
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,347.5,S,True,2020-08-01 00:00:00,2020-07-31 20:00:00,34,175,29.0,40.407,20.6,20.57,22.22,20.6,19.8,21.4
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,350.0,S,True,2020-08-01 00:00:00,2020-07-31 20:00:00,34,973,29.0,40.162,19.2,19.04,19.2,19.2,18.5,19.9
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,352.5,S,True,2020-08-01 00:00:00,2020-07-31 20:00:00,34,344,29.0,39.33,17.6,17.53,18.7,17.6,16.7,18.5
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,355.0,S,False,2020-08-01 00:00:00,2020-07-31 20:00:00,34,1087,29.0,38.831,16.2,16.21,16.7,16.2,15.4,17.0
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,357.5,S,False,2020-08-01 00:00:00,2020-07-31 20:00:00,34,281,29.0,38.429,14.9,15.08,14.9,14.9,14.1,15.7
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,360.0,S,False,2020-08-01 00:00:00,2020-07-31 20:00:00,34,814,29.0,39.733,14.4,13.95,14.0,14.4,13.75,15.05
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,362.5,S,False,2020-08-01 00:00:00,2020-07-31 20:00:00,34,579,29.0,37.736,12.525,12.82,12.7,12.52,11.6,13.45
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,365.0,S,False,2020-08-01 00:00:00,2020-07-31 20:00:00,34,1416,29.0,38.383,11.85,11.69,12.0,11.85,11.45,12.25
